test_name,phase,idx,hw_re,hw_im
simple_n4,input,0,64'h3fe0000000000000,64'hbfc3333333333333
simple_n4,input,1,64'h3ff4000000000000,64'hbfd8000000000000
simple_n4,input,2,64'h4000000000000000,64'hbfe3333333333333
simple_n4,input,3,64'h4006000000000000,64'hbfea666666666666
simple_n4,fft,0,64'h3ff0000000000000,64'hbfd3333333333334
simple_n4,fft,1,64'h4004000000000000,64'hbfe8000000000000
simple_n4,fft,2,64'h4013e66666666666,64'hbfe5999999999998
simple_n4,fft,3,64'h401219999999999a,64'hc001666666666666
simple_n4,ifft,0,64'h3fe0000000000000,64'hbfc3333333333334
simple_n4,ifft,1,64'h3ff4000000000000,64'hbfd8000000000000
simple_n4,ifft,2,64'h4000000000000000,64'hbfe3333333333334
simple_n4,ifft,3,64'h4006000000000000,64'hbfea666666666664
random_n4,input,0,64'hbff5ff1bbf790bf2,64'h3fe9946479b7bcae
random_n4,input,1,64'h3ff0c0671d77c0f7,64'hbfd0be85fbff2d93
random_n4,input,2,64'hbfe2109f3786dcfd,64'hbfd424d8cb528b90
random_n4,input,3,64'hbf55369a6759600e,64'h3feb07482cd81ac6
random_n4,fft,0,64'hc005ff1bbf790bf2,64'h3ff9946479b7bcae
random_n4,fft,1,64'h4000c0671d77c0f6,64'hbfe0be85fbff2d94
random_n4,fft,2,64'hbffb9a778b9df51e,64'h3ff17d6fd8c102a6
random_n4,fft,3,64'h3fe2fe7a0dc6d6e1,64'hbfa112823245b4e6
random_n4,ifft,0,64'hbff5ff1bbf790bf2,64'h3fe9946479b7bcae
random_n4,ifft,1,64'h3ff0c0671d77c0f6,64'hbfd0be85fbff2d94
random_n4,ifft,2,64'hbfe2109f3786dcfe,64'hbfd424d8cb528b8f
random_n4,ifft,3,64'hbf55369a67596000,64'h3feb07482cd81ac6
zeros_n4,input,0,64'h0000000000000000,64'h0000000000000000
zeros_n4,input,1,64'h0000000000000000,64'h0000000000000000
zeros_n4,input,2,64'h0000000000000000,64'h0000000000000000
zeros_n4,input,3,64'h0000000000000000,64'h0000000000000000
zeros_n4,fft,0,64'h0000000000000000,64'h0000000000000000
zeros_n4,fft,1,64'h0000000000000000,64'h0000000000000000
zeros_n4,fft,2,64'h0000000000000000,64'h0000000000000000
zeros_n4,fft,3,64'h0000000000000000,64'h0000000000000000
zeros_n4,ifft,0,64'h0000000000000000,64'h0000000000000000
zeros_n4,ifft,1,64'h0000000000000000,64'h0000000000000000
zeros_n4,ifft,2,64'h0000000000000000,64'h0000000000000000
zeros_n4,ifft,3,64'h0000000000000000,64'h0000000000000000
impulse_n4,input,0,64'h3ff0000000000000,64'h0000000000000000
impulse_n4,input,1,64'h0000000000000000,64'h0000000000000000
impulse_n4,input,2,64'h0000000000000000,64'h0000000000000000
impulse_n4,input,3,64'h0000000000000000,64'h0000000000000000
impulse_n4,fft,0,64'h4000000000000000,64'h0000000000000000
impulse_n4,fft,1,64'h0000000000000000,64'h0000000000000000
impulse_n4,fft,2,64'h0000000000000000,64'h0000000000000000
impulse_n4,fft,3,64'h0000000000000000,64'h0000000000000000
impulse_n4,ifft,0,64'h3ff0000000000000,64'h0000000000000000
impulse_n4,ifft,1,64'h0000000000000000,64'h0000000000000000
impulse_n4,ifft,2,64'h0000000000000000,64'h0000000000000000
impulse_n4,ifft,3,64'h0000000000000000,64'h0000000000000000
allones_n4,input,0,64'h3ff0000000000000,64'h0000000000000000
allones_n4,input,1,64'h3ff0000000000000,64'h0000000000000000
allones_n4,input,2,64'h3ff0000000000000,64'h0000000000000000
allones_n4,input,3,64'h3ff0000000000000,64'h0000000000000000
allones_n4,fft,0,64'h4000000000000000,64'h0000000000000000
allones_n4,fft,1,64'h4000000000000000,64'h0000000000000000
allones_n4,fft,2,64'h4000000000000000,64'h0000000000000000
allones_n4,fft,3,64'h4000000000000000,64'h0000000000000000
allones_n4,ifft,0,64'h3ff0000000000000,64'h0000000000000000
allones_n4,ifft,1,64'h3ff0000000000000,64'h0000000000000000
allones_n4,ifft,2,64'h3ff0000000000000,64'h0000000000000000
allones_n4,ifft,3,64'h3ff0000000000000,64'h0000000000000000
simple_n8,input,0,64'h3fe0000000000000,64'hbfc3333333333333
simple_n8,input,1,64'h3ff4000000000000,64'hbfd8000000000000
simple_n8,input,2,64'h4000000000000000,64'hbfe3333333333333
simple_n8,input,3,64'h4006000000000000,64'hbfea666666666666
simple_n8,input,4,64'h400c000000000000,64'hbff0cccccccccccd
simple_n8,input,5,64'h4011000000000000,64'hbff4666666666666
simple_n8,input,6,64'h4014000000000000,64'hbff8000000000000
simple_n8,input,7,64'h4017000000000000,64'hbffb999999999999
simple_n8,fft,0,64'h400c000000000000,64'hbff0cccccccccccd
simple_n8,fft,1,64'hbff8000000000000,64'h3fdccccccccccccc
simple_n8,fft,2,64'h401a8bfb54822cc4,64'hc015a684a90a8ee2
simple_n8,fft,3,64'h400a81a2f095400f,64'h4010401e42a4287c
simple_n8,fft,4,64'h4011ccccccccccce,64'hc025333333333334
simple_n8,fft,5,64'h4023199999999999,64'h4019999999999999
simple_n8,fft,6,64'h3fe71a3a64fe5020,64'hc01c6d1b4a51c5c4
simple_n8,fft,7,64'h40353a61600b40b2,64'h4001409cfb09f1ef
simple_n8,ifft,0,64'h3fe0000000000000,64'hbfc3333333333334
simple_n8,ifft,1,64'h3ff4000000000000,64'hbfd8000000000000
simple_n8,ifft,2,64'h400710c710b70227,64'hbfbfdaf87996fe44
simple_n8,ifft,3,64'h3fff91e1970d7fd9,64'h3fe3c4e5fad52c74
simple_n8,ifft,4,64'hbfdf333333333324,64'hbfd0ccccccccccd6
simple_n8,ifft,5,64'h4005b33333333332,64'hc014266666666666
simple_n8,ifft,6,64'h3ff67c0c97042fd5,64'hc00b7c23feb9f31f
simple_n8,ifft,7,64'h4019978a7f67d6ed,64'hc0076d6181730fa9
random_n8,input,0,64'hbff69ecf0e180a08,64'h3ff736edba032c89
random_n8,input,1,64'h3ff7f980343e1a19,64'hbff334168daf7213
random_n8,input,2,64'hbff5c9b31077f7cb,64'h3fe8b64ec20e19a8
random_n8,input,3,64'h3ff06216085a3433,64'hbfcd783ceabd4771
random_n8,input,4,64'hbfe11e0896d553d6,64'hbfd621827f4c4351
random_n8,input,5,64'hbfa0f51fdc458d85,64'h3febdd2db3ef852f
random_n8,input,6,64'h3fe31499cd6cb9e5,64'hbff446065f4b1471
random_n8,input,7,64'hbff12438151886e4,64'h3ff79ee830cc5ae2
random_n8,fft,0,64'h3fc5ab1262610100,64'h3fe00b5cb14ee9d8
random_n8,fft,1,64'hc0174c27a12b1210,64'h4015358223d94f4e
random_n8,fft,2,64'hbff963222ee64f0f,64'h400492f9c2d28732
random_n8,fft,3,64'h400754230db419b0,64'h400a44ef19af08b2
random_n8,fft,4,64'h3fe57e4a3a3462b2,64'hbfe402de83c391a1
random_n8,fft,5,64'hc0067d9b25626c82,64'hbfe840267ad4f503
random_n8,fft,6,64'hc00bf6633aa54ea2,64'hc0118ecc2239c8c0
random_n8,fft,7,64'hc007887683d44aa2,64'h3ff78fea344be833
random_n8,ifft,0,64'hbff69ecf0e180a08,64'h3ff736edba032c89
random_n8,ifft,1,64'h3ff7f980343e1a18,64'hbff334168daf7213
random_n8,ifft,2,64'hbfe362c5da140896,64'h3ff23a2d866cebe6
random_n8,ifft,3,64'h3ff1dba69398be1f,64'hbfe9a226557f8921
random_n8,ifft,4,64'h3fd6df385a84abd8,64'hbfeb7e52c65350ea
random_n8,ifft,5,64'hbf960ee205049288,64'h3fe17ce38471881a
